dates,NSW,VIC,QLD,TAS,SA
1/1/2010,-0.464321722,-0.476684746,-0.074838916,-0.010244676,-0.727534719
1/2/2010,-0.349864526,-0.425230454,0.087615838,-0.718898602,-0.467021523
1/3/2010,-0.335179798,-0.266633751,-0.320847859,-0.078253354,-0.365778681
1/4/2010,-0.374444335,-0.478858661,-0.311510544,-0.233653149,-0.443019771
1/5/2010,-0.098033665,-0.82769063,-0.265605637,-0.599026287,-0.787345514
1/6/2010,-0.214582745,-0.325167972,-0.063737906,-0.263838831,-0.427762074
1/7/2010,-0.388813224,-0.370811417,-0.474861863,-0.533335329,-0.323867672
1/8/2010,-0.025365054,0.082407393,-0.204747124,0.34770845,3.276440914
1/9/2010,0.844017287,0.958632328,0.244763331,0.522868445,1.039554371
1/10/2010,0.45199548,0.390105467,-0.867835556,0.676288155,2.933141216
1/11/2010,0.453183498,3.983611656,-0.236729648,0.588175842,3.844722612
1/12/2010,2.318314368,0.59511055,-0.898218053,0.133602355,-0.122242292
1/13/2010,-0.164007123,-0.272116156,-1.28576378,-0.135826483,-0.462205808
1/14/2010,-0.389973624,-0.30420696,0.170703269,-0.676545214,-0.399402116
1/15/2010,-0.265046747,-0.454821422,-1.046166858,-0.579259673,2.363853789
1/16/2010,-0.220707433,-0.42797703,0.044043261,-0.285662025,2.423932902
1/17/2010,-0.583334831,-0.702511208,-1.2757353,-0.562794234,-0.823066724
1/18/2010,-0.681896172,-0.842627972,2.668306279,-0.455186081,-0.92264572
1/19/2010,-0.605473128,-0.540920608,-1.494210919,-0.555545662,-0.537415529
1/20/2010,-0.125732451,-0.250520152,-0.207013982,-0.216624349,-0.375418872
1/21/2010,1.581676023,0.009351552,1.986283542,0.04913989,0.837079053
1/22/2010,3.382802867,0.160400359,0.391940702,-0.586667281,-0.104463703
1/23/2010,3.149822385,-0.045408041,-0.198565345,-0.766476183,-0.28288876
1/24/2010,-0.424799511,-0.461583871,-0.522270101,-1.026064551,-0.375692067
1/25/2010,-0.401448825,-0.29346192,0.261396704,-0.032845553,-0.36581316
1/26/2010,-0.351551045,-0.199393441,-0.033209657,-0.384192459,-0.190263428
1/27/2010,-0.937595018,-0.009617864,0.329304197,-0.099016439,-0.122441345
1/28/2010,-0.004280825,-0.097467906,0.85280952,-0.730420688,-0.080503525
1/29/2010,-0.084402006,-0.417949863,-0.682432327,-0.022204134,-0.535422351
1/30/2010,-0.360344921,-0.195569323,-0.689245647,-0.018103526,-0.440522899
1/31/2010,-1.106375959,-1.080477951,-1.034522603,-0.109005693,-1.325163477
